Store,Brand,Description,Week,SalesQuantity,TotalSalesPrice,PurchaseQuantity,TotalPurchasePrice,BegInv,EndInv,COGS,InventoryValue,InventoryTurnover,DOI
1,807,Jim Beam,9,4,79.96,236,3122.28,404,636,52.92,8414.28,0.101769231,510.9599395
2,126,Grey Goose Vodka,1,90,2726.1,90,1812.6,396,396,1812.6,7975.44,4.577272727,11.36047666
2,126,Grey Goose Vodka,2,32,1055.68,24,483.36,168,252,644.48,5075.28,3.068952381,16.94389275
2,126,Grey Goose Vodka,3,4,131.96,24,483.36,272,278,80.56,5598.92,0.292945455,177.5074479
2,126,Grey Goose Vodka,4,16,527.84,24,483.36,282,300,322.24,6042,1.107353952,46.95878848
2,126,Grey Goose Vodka,5,1,32.99,0,0,76,75,20.14,1510.5,0.266754967,194.9354518
2,126,Grey Goose Vodka,6,8,223.92,16,341.92,56,60,170.96,1282.2,2.947586207,17.64155358
2,126,Grey Goose Vodka,7,3,83.97,0,0,14,13,64.11,277.81,4.748888889,10.94992981
2,126,Grey Goose Vodka,8,12,335.88,20,427.4,56,64,256.44,1367.68,4.274,12.16658868
2,126,Grey Goose Vodka,9,12,335.88,24,512.88,80,86,256.44,1837.82,3.089638554,16.83044767
2,408,Wild Turkey American Honey,1,1,14.49,0,0,11,10,11.41,114.1,1.086666667,47.85276074
2,408,Wild Turkey American Honey,2,1,17.99,0,0,28,27,12.97,350.19,0.471636364,110.2544333
2,408,Wild Turkey American Honey,3,1,17.99,0,0,27,26,12.97,337.22,0.489433962,106.2451812
2,408,Wild Turkey American Honey,4,3,53.97,0,0,26,23,38.91,298.31,1.588163265,32.74222565
2,408,Wild Turkey American Honey,5,1,17.99,0,0,23,22,12.97,285.34,0.576444444,90.20817271
2,408,Wild Turkey American Honey,6,1,20.99,0,0,33,32,13.04,417.28,0.401230769,129.601227
2,408,Wild Turkey American Honey,7,2,41.98,0,0,32,30,26.08,391.2,0.841290323,61.80981595
2,408,Wild Turkey American Honey,8,1,20.99,0,0,30,29,13.04,378.16,0.442033898,117.6380368
2,408,Wild Turkey American Honey,9,1,7.99,0,0,47,46,6.29,289.34,0.135268817,384.4197138
2,482,Seagrams 7 Crown,1,54,1151.46,108,1542.24,186,306,771.12,4369.68,3.134634146,16.58885777
2,482,Seagrams 7 Crown,2,3,65.97,0,0,51,48,42.84,685.44,0.865454545,60.08403361
2,482,Seagrams 7 Crown,3,20,439.8,48,685.44,206,234,285.6,3341.52,1.298181818,40.05602241
2,482,Seagrams 7 Crown,4,1,21.99,0,0,62,61,14.28,871.08,0.232195122,223.9495798
2,482,Seagrams 7 Crown,5,8,175.92,44,628.32,280,298,114.24,4255.44,0.395294118,131.547619
